date,12-Jul,Remaining weeks,7 1/7,End of plan,31-Aug,,,,
类别,Desc,截止目标,当前完成,平均完成,本周目标,本周完成,今天目标,今天完成,Notes
编程,usaco traning: fin C4.2,65,60, 2/3,1,0,0,0,
编程,"usaco hist, fin 2018-2019 Bronze",9,2,1    ,2,0,0,0,
奥数,finish精讲与测试8年级部分,5,1, 5/9,0,0,0,0,
数(中考),"finish数学,物理一半",29,21,1 1/8,2,0,1,0,
BS,each semester each subject 10 ribbons,188,158,4 1/5,10,8,0,0,
练字,,9,3, 5/6,1,0,0,0,
墨墨,积累单词,15500,14307,167    ,146,88,20,20,
英语,writing better,15,1,2    ,2,0    , 1/2,0,
学而思,做完每周作业,15,5,1 2/5,5,0,1,0,
运动,每天1(10*3+1000)或R,45,12,4 5/8,6R+1,0,R,0,
"数（ｃａｌｃｕｌｕｓ）, 物",ATTEND CLASSES AND READ BOOK,30,8,3    ,3    ,0,1,0,"Princeton in 子主题, 7d assist, New Phyz"
阅读,"THOND, Antho, One of the 4 Rec Books",,,,,,,,"Only Antho at home and read-aloud, can find THOND online"
